file_name,file_path,game,asset_type,subject,呈現形式,視角,character,style,note
看我釣大魚_001.jpg,中文德撲/看我釣大魚_001.jpg,中文德撲,場景,牌桌全景,,不指定,,2D,
看我釣大魚_004.jpg,中文德撲/看我釣大魚_004.jpg,中文德撲,場景,玩家特寫,,主角,,2D,改成「玩家特寫」+視角=主角，可以嗎？好
看我釣大魚_005.jpg,中文德撲/看我釣大魚_005.jpg,中文德撲,UI介面,bar條,UI面板,主角,,2D,這是誰的bar條？主角阿 視角是主角
看我釣大魚_009.jpg,中文德撲/看我釣大魚_009.jpg,中文德撲,場景,思考倒數,,左玩家,,2D,主角還是對手在倒數思考？左玩家阿
看我釣大魚_010.jpg,中文德撲/看我釣大魚_010.jpg,中文德撲,場景,跟注動作,UI面板,左玩家,,2D,
看我釣大魚_021.jpg,中文德撲/看我釣大魚_021.jpg,中文德撲,特效,三條特效,邊框發光,主角,,2D,
看我釣大魚_033.jpg,中文德撲/看我釣大魚_033.jpg,中文德撲,場景,棄牌動作,UI面板,右玩家,,2D,
看我釣大魚_037.jpg,中文德撲/看我釣大魚_037.jpg,中文德撲,UI介面,bar條,UI面板,主角,,2D,這是誰的bar條？主角阿 視角是主角
看我釣大魚_039.jpg,中文德撲/看我釣大魚_039.jpg,中文德撲,場景,All-in動作,UI面板,主角,,2D,
看我釣大魚_041.jpg,中文德撲/看我釣大魚_041.jpg,中文德撲,場景,All-in動作,UI面板,左玩家,,2D,
看我釣大魚_043.jpg,中文德撲/看我釣大魚_043.jpg,中文德撲,轉場,決戰時刻,其他,不指定,,2D,這張要留具體內容，還是比較像轉場？轉場
看我釣大魚_044.jpg,中文德撲/看我釣大魚_044.jpg,中文德撲,場景,開牌,,不指定,,2D,
看我釣大魚_047.jpg,中文德撲/看我釣大魚_047.jpg,中文德撲,場景,河牌翻牌,,不指定,,2D,
看我釣大魚_051.jpg,中文德撲/看我釣大魚_051.jpg,中文德撲,特效,鐵支特效,文字卡,主角,,2D,
看我釣大魚_054.jpg,中文德撲/看我釣大魚_054.jpg,中文德撲,特效,金幣堆,其他,不指定,,2D,
看我釣大魚_059.jpg,中文德撲/看我釣大魚_059.jpg,中文德撲,片尾,中撲jingle,,,,2D,要跟「印撲icon」合併成同一標準詞嗎(例如品牌片尾)？先不要 不同遊戲；2026-07-29:此素材不分2D/3D皆可用，比對時不受style限制
不是被嚇大的_010.jpg,中文德撲/不是被嚇大的_010.jpg,中文德撲,場景,棄牌動作,UI面板,左玩家,,2D,
不是被嚇大的_013.jpg,中文德撲/不是被嚇大的_013.jpg,中文德撲,場景,加注動作,UI面板,右玩家,,2D,
不是被嚇大的_014.jpg,中文德撲/不是被嚇大的_014.jpg,中文德撲,場景,兩對特效,邊框發光,主角,,2D,
不是被嚇大的_023.jpg,中文德撲/不是被嚇大的_023.jpg,中文德撲,場景,玩家特寫,,右玩家,,2D,改成「玩家特寫」+視角=右玩家，可以嗎？可
不是被嚇大的_034.jpg,中文德撲/不是被嚇大的_034.jpg,中文德撲,轉場,掉金幣,,,,2D,跟「金幣堆」是不同東西嗎(掉落動畫vs靜態堆疊)？不一樣
鐵證如山鐵支啦_004.jpg,中文德撲/鐵證如山鐵支啦_004.jpg,中文德撲,角色人像,玩家特寫,,對手,,AI,「嗆聲」要另立新標準詞，還是併入「玩家特寫」+note？不用嗆聲
鐵證如山鐵支啦_025.jpg,中文德撲/鐵證如山鐵支啦_025.jpg,中文德撲,特效,不分類牌特效,,,,AI,實際是什麼牌型？不想留「不分類」的話麻煩告訴我  就不分
塗鴉風對手教學_004.jpg,中文德撲/塗鴉風對手教學_004.jpg,中文德撲,角色人像,玩家特寫,,左玩家,,塗鴉風,這支素材的「對手」固定是同一視角嗎？有分左右
塗鴉風對手教學_006.jpg,中文德撲/塗鴉風對手教學_006.jpg,中文德撲,角色人像,玩家特寫,,右玩家,,塗鴉風,這支素材的「對手」固定是同一視角嗎？左分左右
塗鴉風對手教學_015.jpg,中文德撲/塗鴉風對手教學_015.jpg,中文德撲,場景,牌桌全景,,主角,,塗鴉風,
塗鴉風對手教學_018.jpg,中文德撲/塗鴉風對手教學_018.jpg,中文德撲,場景,同花特效,,主角,,塗鴉風,同花特效是誰的？主角
學賭神特寫篇_010.jpg,印尼德撲/學賭神特寫篇_010.jpg,印尼德撲,場景,All-in動作,籌碼動作,對手,,3D,
學賭神特寫篇_012.jpg,印尼德撲/學賭神特寫篇_012.jpg,印尼德撲,場景,All-in動作,籌碼動作,主角,,3D,
學賭神特寫篇_016.jpg,印尼德撲/學賭神特寫篇_016.jpg,印尼德撲,場景,開牌,,對手,,3D,
學賭神特寫篇_017.jpg,印尼德撲/學賭神特寫篇_017.jpg,印尼德撲,特效,三條特效,邊框發光,對手,,3D,
學賭神特寫篇_021.jpg,印尼德撲/學賭神特寫篇_021.jpg,印尼德撲,場景,開牌,,不指定,,3D,
學賭神特寫篇_036.jpg,印尼德撲/學賭神特寫篇_036.jpg,印尼德撲,轉場,掉金幣,,,,3D,跟「金幣堆」是不同東西嗎(掉落動畫vs靜態堆疊)？不同
瞇牌抉擇下注篇_007.jpg,印尼德撲/瞇牌抉擇下注篇_007.jpg,印尼德撲,場景,瞇牌動作,,主角,,3D,
瞇牌抉擇下注篇_010.jpg,印尼德撲/瞇牌抉擇下注篇_010.jpg,印尼德撲,場景,瞇牌動作,邊框發光,主角,,3D,"如前一個鏡頭描述為""瞇牌""，後為發光，則用此張"
瞇牌抉擇下注篇_012.jpg,印尼德撲/瞇牌抉擇下注篇_012.jpg,印尼德撲,UI介面,選擇,其他,主角,,3D,這張實際是跳出選項給主角選，懸浮的
瞇牌抉擇下注篇_023.jpg,印尼德撲/瞇牌抉擇下注篇_023.jpg,印尼德撲,片尾,印撲icon,,,,3D,同是片尾，但不同遊戲；2026-07-29:此素材不分2D/3D皆可用，比對時不受style限制
光條集氣歐印篇_001.jpg,印尼德撲/光條集氣歐印篇_001.jpg,印尼德撲,構圖運鏡參考,牌桌全景,,不指定,,3D,俯視牌桌
光條集氣歐印篇_020.jpg,印尼德撲/光條集氣歐印篇_020.jpg,印尼德撲,場景,All-in動作,籌碼動作,主角,,3D,
光條集氣歐印篇_023.jpg,印尼德撲/光條集氣歐印篇_023.jpg,印尼德撲,文字樣式,All-in動作,文字卡,主角,,3D,
光條集氣歐印篇_031.jpg,印尼德撲/光條集氣歐印篇_031.jpg,印尼德撲,場景,牌桌近景,,不指定,,3D,
光條集氣歐印篇_035.jpg,印尼德撲/光條集氣歐印篇_035.jpg,印尼德撲,文字樣式,葫蘆特效,,主角,,3D,葫蘆特效是誰的?主角
A葫蘆歐印篇改造篇_001.jpg,印尼德撲/A葫蘆歐印篇改造篇_001.jpg,印尼德撲,UI介面,選擇,,主角,,3D,
